Магазин,Координаты,Время покупки,Категории,Бренды,Номер карточки,Количество товаров,Стоимость покупок
Винлаб,"(59.9284135,30.3045952)",2024-05-18 17:01:44.434508,"{'Ликер', 'Портвейн', 'Джин', 'Вермуты', 'Эль', 'Шампанское', 'Ром', 'Водка', 'Сидр', 'Пиво', 'Виски'}","{'Белуга', 'Sandeman', 'Царская', 'Newcastle Brown Ale', 'Amaretto', 'Campari', 'Noilly Prat', 'The Macallan', 'Жигулевское', 'Carpano', 'Moet & Chandon', 'Zacapa', ""Jack Daniel's"", 'Martini Rosso', 'Beefeater', 'Veuve Clicquot', 'Fizzy', 'Bosca', 'Советское', ""Gordon's"", 'Somersby', ""Graham's""}",2202 3458 1679 4442,25,35900
Дикси,"(59.9293046,30.3479647)",2024-07-14 10:52:41.478282,"{'Косметика и уход', 'Крупы', 'Кофе и чай', 'Детские товары', 'Молочные продукты', 'Шампунь', 'Кошачий корм', 'Средство для мытья посуды', 'Сосиски', 'Печенье', 'Средство для стекол', 'Колбасные изделия', 'Полуфабрикаты', 'Зубная паста', 'Овощи'}","{'Орео', 'Colgate', 'Clear', 'Черкизово', 'Свой урожай', 'Rexona', 'Останкино', 'Брест-Литовск', 'Солнце и Луна', 'Clin', 'Felix', 'Микоян', 'Мистер Мускул', 'Националь', 'AOS', 'Мираторг', 'Whiskas', 'Jacobs'}",2204 6190 4856 3711,18,3387
РеалЪ,"(59.9339821,30.3134871)",2023-07-05 17:00:39.777849,"{'Влажные салфетки', 'Колбасные изделия', 'Средство для чистки', 'Овощи', 'Салфетки', 'Замороженные овощи', 'Мясо', 'Водка', 'Чай', 'Фрукты', 'Косметика и уход', 'Сладости', 'Гель для душа', 'Молочные продукты', 'Кондитерские изделия', 'Майонез', 'Конфеты', 'Коньяк', 'Полуфабрикаты', 'Консервы'}","{'АрАрАт', 'Белуга', 'Фруктовый край', 'Слодыч', 'Тёма', 'Коркунов', 'Свой урожай', 'Pampers', '4 сезона', 'Рот Фронт', 'Мираторг', 'Черкизово', 'Rexona', 'Бондюэль', 'Cif', 'Lipton', 'Аленка', 'Calve', 'Zewa', 'Окраина', 'Рузком', 'Простоквашино', 'Nivea'}",4279 4718 4679 3077,25,5529
Дикси,"(59.927631,30.3117314)",2024-03-22 22:16:40.886784,"{'Крупы', 'Сладости', 'Бытовая химия', 'Масло сливочное', 'Кошачий корм', 'Кондитерские изделия', 'Сыр', 'Йогурт', 'Молоко', 'Сметана', 'Рыба и морепродукты', 'Рис', 'Овощи'}","{'Fairy', 'Экомилк', 'Увелка', 'Крестьянское', 'Юбилейное', 'Мистер Мускул', 'Президент', 'Гудвил', 'Русское море', 'Активиа', 'Санта Бремор', 'Whiskas', 'Тульский', 'Простоквашино', 'Агроферма'}",2200 8563 4236 2171,18,2460
Винлаб,"(59.9284135,30.3045952)",2024-04-16 19:58:43.637510,"{'Ликер', 'Бренди', 'Джин', 'Вермуты', 'Коньяк', 'Вино', 'Текила', 'Ром', 'Водка', 'Сидр', 'Пиво', 'Виски'}","{'Белуга', 'Metaxa', 'Patron', 'Courvoisier', 'Царская', 'Инкерман', 'Шато Тамань', 'Johnnie Walker', 'Havana Club', 'Финляндия', 'Cinzano Bianco', ""Sheridan's"", 'Amstel', 'Балтика 7', 'Zacapa', ""Jack Daniel's"", 'Remy Martin', 'Beefeater', 'Magners', 'Абрау-Дюрсо', 'Heineken', 'Somersby', 'Captain Morgan', 'Арарат'}",4277 9924 7586 5084,25,36430
Вкус сидра,"(59.9314952,30.3218084)",2024-07-20 13:25:48.877278,"{'Бренди', 'Портвейн', 'Вермуты', 'Коньяк', 'Текила', 'Шампанское', 'Сидр', 'Пиво', 'Виски'}","{'Veuve Clicquot', 'Magners', 'Sandeman', 'Leffe', ""Dow's"", ""Jack Daniel's"", 'Courvoisier', 'Strongbow', 'Ararat', 'Espolon', 'Somersby', 'Martini Rosso', 'Amstel', ""Graham's"", 'Pliska', 'Martini Asti', 'Remy Martin'}",2206 7978 6647 7395,18,24900
Дикси,"(59.9243227,30.3052909)",2024-04-29 15:07:48.219036,"{'Туалетная бумага', 'Мусорные пакеты', 'Батарейки', 'Хлебобулочные', 'Овощи', 'Замороженные продукты', 'Минеральная вода', 'Кофе', 'Печенье', 'Мясо', 'Колбаса', 'Подгузники', 'Бакалея', 'Пельмени', 'Рыба и морепродукты', 'Майонез', 'Коньяк', 'Средство для мытья посуды', 'Молоко', 'Напитки', 'Полуфабрикаты'}","{'АрАрАт', 'Паляничка', 'Санта Бремор', 'Fairy', 'Останкино', 'Глобус', 'Pampers', 'Energizer', 'AOS', 'Олейна', 'Овощи России', 'Kleenex', 'Бородинский', 'Paclan', 'Nescafe', 'Ессентуки', 'Орео', 'Кока-Кола', 'Calve', 'Дымов', 'Окраина', 'Простоквашино'}",5443 6603 9933 6900,25,6134
Магнит,"(59.9177746,30.3455293)",2024-06-30 19:43:13.096697,"{'Крупы', 'Косметика и уход', 'Кошачий корм', 'Освежитель воздуха', 'Бакалея'}","{'Glade', 'Rexona', 'Увелка', 'Felix', 'Шебекинские'}",2202 8858 6229 1726,5,622
Красное&Белое,"(59.9220588,30.3077459)",2024-01-19 14:59:47.731631,"{'Бренди', 'Портвейн', 'Джин', 'Вермуты', 'Эль', 'Вино', 'Ром', 'Водка', 'Пиво', 'Виски'}","{'Белуга', ""Dow's"", 'Царская', ""Gordon's"", ""Cockburn's"", 'Bacardi', 'Ararat', 'Johnnie Walker', 'Martini Rosso', 'Kilkenny', 'Budweiser', 'Винодельня Фанагория', 'Балтика 7', 'Bass Pale Ale', 'Hoegaarden'}",2200 6658 2259 5591,19,13160
Красное&Белое,"(59.9182908,30.2966176)",2023-11-27 15:33:52.585054,"{'Ликер', 'Бренди', 'Портвейн', 'Джин', 'Эль', 'Вино', 'Шампанское', 'Ром', 'Водка', 'Пиво', 'Виски'}","{'Белуга', 'Havana Club', 'Tanqueray', 'Финляндия', ""Sheridan's"", 'Bass Pale Ale', 'Жигулевское', 'Torres', 'Chivas Regal', 'Ararat', 'Malibu', 'Leffe', 'Абрау-Дюрсо', 'Bosca', ""Gordon's"", 'Heineken', 'Sailor Jerry', ""Graham's"", 'Kahlua'}",5469 7922 5714 5240,21,20870
Ароматный мир,"(59.9181694,30.2802066)",2023-04-07 16:02:01.853456,"{'Портвейн', 'Вермуты', 'Текила', 'Шампанское', 'Ром', 'Пиво'}","{'Bosca', 'Patron', 'Noilly Prat', 'Espolon', 'Carpano', 'Budweiser', 'Captain Morgan', 'Fonseca'}",2202 2869 8009 5709,8,11550
Вкустер,"(59.9054965,30.3426548)",2023-06-28 19:56:49.483847,"{'Салфетки', 'Молочные продукты', 'Бакалея', 'Хлебобулочные', 'Мыло', 'Замороженные продукты'}","{'Златые', 'Останкино', 'Бородинский', 'Тёма', 'Невская косметика', 'Kleenex'}",4272 3139 1048 6378,6,505
Градусы,"(59.9289941,30.3487379)",2023-08-19 17:02:46.341086,"{'Ликер', 'Портвейн', 'Джин', 'Вермуты', 'Вино', 'Пиво'}","{""Hendrick's"", ""Dow's"", 'Beefeater', 'Stella Artois', 'Campari', 'Балтика 7', 'Malibu', 'Массандра', 'Hoegaarden'}",4276 7944 7059 8517,9,7490
Солод и хмель,"(59.9137922,30.3229832)",2023-11-21 10:03:00.097927,"{'Ликер', 'Портвейн', 'Вермуты', 'Эль', 'Текила', 'Шампанское', 'Пиво'}","{'Moet & Chandon', 'Leffe', ""Dow's"", 'Don Julio', 'Olmeca', ""Fuller's"", 'Jose Cuervo', 'Martini Rosso', 'Amaretto'}",2200 6238 8168 9956,9,14410
РосАл,"(59.9244915,30.3078158)",2023-09-02 19:02:05.616435,"{'Вино', 'Текила', 'Пиво', 'Шампанское'}","{'Guinness', 'Espolon', 'Heineken', 'Винодельня Фанагория', 'Martini Asti', 'Массандра'}",5406 9057 8843 3767,8,7840
Дикси,"(59.9140327,30.323598)",2023-11-26 20:50:32.030869,"{'Туалетная бумага', 'Корма для животных', 'Минеральная вода', 'Газировка', 'Масло сливочное', 'Полуфабрикаты', 'Овощи', 'Фрукты'}","{'Фруктовый край', 'Боржоми', 'Экомилк', 'Китикэт', 'Добрый', 'Фермерский урожай', 'Сибирская коллекция', 'Овощи России', 'Kleenex'}",4276 7120 2224 1064,9,1058
Красное&Белое,"(59.9236185,30.3424575)",2024-02-18 16:21:25.179891,"{'Бренди', 'Джин', 'Вино', 'Текила', 'Ром', 'Сидр', 'Виски'}","{'Абрау-Дюрсо', 'Bombay Sapphire', ""Jack Daniel's"", 'Strongbow', 'Espolon', 'Vecchia Romagna', 'Шато Тамань', 'Captain Morgan', 'Массандра'}",2202 5438 5048 1267,9,9800
Ситилинк,"(59.9263814,30.3187662)",2023-07-07 12:19:53.915682,"{'Роутер', 'Планшет', 'Монитор', 'Процессор', 'Жесткий диск', 'Клавиатура', 'Флешка', 'Микрофон'}","{'Seagate', 'Shure', 'Transcend', 'Intel', 'ASUS', 'Dell', 'Kingston', 'AMD', 'Samsung', 'Razer'}",5406 8093 2746 8123,10,113700
Магнит,"(59.906095,30.312277)",2024-07-12 09:39:38.793500,"{'Влажные салфетки', 'Крупы', 'Подгузники', 'Гель для душа', 'Кофе', 'Салфетки', 'Молочные продукты', 'Шампунь', 'Кондитерские изделия', 'Бакалея', 'Батарейки', 'Соусы и специи', 'Фрукты'}","{'Сады России', 'Наполеон', 'Heinz', 'Pampers', 'Energizer', 'Zewa', 'Националь', 'Head & Shoulders', 'Huggies', 'Dove', 'Олейна', 'Вкуснотеево', 'Nescafe'}",4276 5862 1184 2484,13,2913
Пятёрочка,"(59.9216699,30.3043033)",2024-07-09 11:39:52.668761,"{'Туалетная бумага', 'Мусорные пакеты', 'Хлебобулочные', 'Овощи', 'Замороженные продукты', 'Салфетки', 'Моющее средство', 'Крупа гречневая', 'Сладости', 'Подгузники', 'Молочные продукты', 'Вино', 'Сосиски', 'Соусы и специи', 'Рыба и морепродукты', 'Макароны', 'Корма для животных', 'Напитки', 'Консервы'}","{'Добрый', 'Pedigree', 'Fackelmann', 'Сибирская коллекция', 'Санта Бремор', 'Славянка', 'Коркунов', 'Увелка', 'Pampers', 'Овощи России', 'Kleenex', 'Савушкин', 'Барилла', 'Bonduelle', 'Tide', 'Calve', 'Дымов', 'Каберне', 'Булочная Столичная'}",2204 3330 8869 8482,22,4240
Ароматный мир,"(59.9062831,30.3446443)",2023-12-04 14:34:17.653574,"{'Бренди', 'Портвейн', 'Вермуты', 'Вино', 'Текила', 'Шампанское', 'Ром', 'Водка', 'Пиво', 'Виски'}","{'Veuve Clicquot', ""Dow's"", 'Don Julio', 'Финляндия', 'Stella Artois', 'Jameson', ""Cockburn's"", 'Русский Стандарт', 'Ararat', 'Инкерман', 'Johnnie Walker', 'Martini Rosso', 'Sailor Jerry', 'Массандра', 'Fonseca'}",5489 2700 6116 7857,19,26730
Ароматный мир,"(59.9137255,30.2937732)",2024-08-02 12:25:29.051065,"{'Ликер', 'Портвейн', 'Джин', 'Вермуты', 'Текила', 'Ром', 'Водка', 'Сидр', 'Пиво', 'Виски'}","{'Espolon', 'Amaretto', 'Tanqueray', 'Финляндия', 'Guinness', 'Strongbow', 'Apple Fox', 'Bombay Sapphire', ""Cockburn's"", 'Chivas Regal', 'Martini Rosso', 'Budweiser', 'Beefeater', 'Magners', 'Fizzy', 'Carlsberg', 'Leffe', 'Bacardi', 'Heineken'}",2204 4291 9448 8957,19,14460
Удачный,"(59.9116802,30.3069503)",2024-04-29 20:46:03.301920,"{'Батарейки', 'Овощи', 'Замороженные продукты', 'Детские товары', 'Кофе', 'Крупа гречневая', 'Печенье', 'Мясо', 'Косметика и уход', 'Кондитерские изделия', 'Бакалея', 'Прокладки', 'Сосиски', 'Лапша быстрого приготовления', 'Коньяк', 'Вода', 'Кошачий корм', 'Полуфабрикаты', 'Консервы'}","{'Морозко', 'Рот-Фронт', 'Hennessy', 'Мираторг', 'Овощи России', 'Rexona', 'Солнце и Луна', 'Шишкин лес', 'Доширак', 'Bonduelle', 'Nescafe', 'Элика', 'Орео', 'Златые', 'Naturella', 'Националь', 'Head & Shoulders', 'Whiskas', 'Клинский', 'Duracell', 'Nivea'}",2202 1958 6991 9545,21,6635
Красное&Белое,"(59.9289424,30.3247591)",2023-04-02 14:59:23.333709,"{'Портвейн', 'Вино', 'Текила', 'Шампанское', 'Водка', 'Сидр', 'Пиво'}","{'Белуга', 'Carlsberg', 'Абрау-Дюрсо', ""Dow's"", 'Olmeca', 'Советское', 'Инкерман', 'Apple Fox'}",5489 8362 4758 2999,8,5240
Перекрёсток,"(59.9191342,30.3392889)",2023-03-14 14:42:17.687706,"{'Крупы', 'Напитки', 'Косметика и уход', 'Минеральная вода'}","{'Кока-Кола', 'Боржоми', 'Мистраль', 'Агро-Альянс', 'Head & Shoulders'}",2200 5136 6138 9943,5,661
Ароматный мир,"(59.9223551,30.2929959)",2023-07-02 19:08:22.354261,"{'Бренди', 'Портвейн', 'Джин', 'Коньяк', 'Шампанское', 'Ром', 'Водка', 'Сидр', 'Пиво', 'Виски'}","{'Moet & Chandon', 'Magners', 'Zacapa', 'Абсолют', 'Bosca', ""Dow's"", 'Bombay Sapphire', 'Torres', 'Stella Artois', 'Heineken', 'Vecchia Romagna', 'The Macallan', 'Sailor Jerry', ""Graham's"", 'Apple Fox', 'Captain Morgan', 'Арарат'}",5469 8962 7003 4098,19,24520
Ситилинк мини,"(59.9279841,30.3501502)",2023-10-05 14:12:23.062197,"{'Роутер', 'Колонки', 'Игровая консоль', 'Мышь', 'Часы', 'Внешний жесткий диск', 'Умная колонка', 'Электронная книга', 'Материнская плата', 'Смартфон', 'Видеокарта', 'Сканер'}","{'Linksys', 'Nvidia', 'Canon', 'ASUS', 'Sony', 'Garmin', 'WD', 'Apple', 'Gigabyte', 'Razer', 'Barnes & Noble', 'Google'}",5469 7367 5630 6546,14,209100
ГикТрип,"(59.9152851,30.3409045)",2023-08-31 18:08:35.159587,"{'Философия', 'Бизнес-литература', 'Научпоп', 'Поэзия', 'Фантастика', 'Саморазвитие', 'Психология', 'Классика', 'Приключения', 'Исторический роман', 'Фэнтези', 'Юмор', 'Детектив'}","{'Бродский', 'Маяковский', 'Мартин', 'Марк Твен', 'Фромм', 'Куриосити', 'Кларк', 'Гарднер', 'Хокинг', 'Лермонтов', 'Синек', 'Достоевский', 'Талеб', 'Адлер', 'Лондон', 'Зощенко', 'Браун', 'Платон', 'Фоллетт', 'Герберт', 'Кант'}",2204 7868 5224 6432,24,9150
РосАл,"(59.9226614,30.3507536)",2023-05-15 21:15:49.696868,"{'Джин', 'Водка', 'Портвейн', 'Эль'}","{""Dow's"", 'Bombay Sapphire', 'Царская', 'Kilkenny', ""Graham's""}",5489 6522 5224 5127,6,5730
Винлаб,"(59.9136322,30.3280147)",2024-02-07 16:35:30.589949,"{'Портвейн', 'Джин', 'Вермуты', 'Текила', 'Шампанское', 'Водка', 'Сидр', 'Пиво', 'Виски'}","{'Moet & Chandon', 'Белуга', 'Leffe', 'Carlsberg', 'Cinzano Bianco', 'Olmeca', 'Jameson', ""Cockburn's"", 'Strongbow', 'Русский Стандарт', 'Tanqueray', 'Martini Asti'}",2202 5144 3239 4817,13,14820
Красное&Белое,"(59.9030695,30.3242598)",2024-07-10 21:16:10.145488,"{'Джин', 'Вермуты', 'Коньяк', 'Шампанское', 'Ром', 'Пиво', 'Виски'}","{'Zacapa', 'Кизлярский', 'Cinzano Bianco', 'Советское', ""Gordon's"", 'Martini Rosso', 'The Macallan', 'Балтика 7', 'Martini Asti', 'Courvoisier'}",4276 7190 6408 9852,10,15210
